IDNUM;OTEXE;NREG;ZENVI;SUTOT;CHAFF;PRODV;PRODH;PRODT;PRODA;RESEX;CHRAM;CHRSE;CHRPH;CHRAC;CHRAG;CHRPV;CHRCA;ELECTQUA;ENTBT;ENTMT;LFERM;LMATE;ASSRE;ASSAU;TVANR;TXPRO;TAXES;AIMTX;FPERS;CHSOC;CFINL;CAGR4
49081;37;93;0;6;177429;0;0;241749;0;-4189;0;0;13303;0;0;0;2189;33975;0;3448;20629;3528;7996;8054;0;2372;635;2027;63210;22054;99;3267
4293;39;84;0;4;1506370;1385215;0;0;0;366575.4;0;103335;94753;0;0;0;34112;455633;7091;90394;104022;2419;22917;5052;0;11796;0;5475;238737;78975;12616;23111
10453;37;84;0;3;135759;134586;0;0;0;65537.56;0;5014;15133;0;0;0;6216;4978;0;13663;12666;0;4770;781;0;680;1178;440;0;0;2321;830
13531;37;84;0;3;389569;444537;0;0;0;141338.24;0;13795;66295;0;0;0;20525;10894;34;20124;52827;0;15930;2314;0;2666;0;842;22022;3320;2805;8
18060;37;84;0;2;152299.08;154118.49;0;3123.04;0;15965.33;1071.51;5677.13;22237.44;0;0;0;11261.19;2554;1957.3;12518.47;11892.88;0;5068.78;5616.74;0;1421.73;1427.32;508;0;0;1203.33;84.03
18157;45;84;1;11;177020;53367;0;-350;15692;54429.55;0;9563;5259;29741;4392;3907;6098;17911;1318;9612;5280;655;1011;8946;0;996;0;595;0;0;0;0
21137;45;84;1;10;177076.93;170026.02;0;0;0;43407.75;49.44;1377.62;5839.45;0;0;0;1040.26;33566;0;2938.39;14760.11;301.01;5143.13;3559.79;0;0;0;631.84;17690.77;4127.49;5038.29;1261.83
21814;48;84;0;20;766511;453472;0;3150;29065;286670.41;0;52486;39156;44856;0;0;23299;52376;3373;28813;47185;1984;0;8121;0;3913;31;2070;0;0;9150;588
23129;45;84;0;27;503975;0;498525;0;0;66061;13457;185409;4116;0;0;0;1;16424;149;11133;0;1950;0;9219;0;0;381;1257;63614;10117;576;769
24278;37;84;1;16;250535.81;20141.64;0;0;25361.82;64522.23;0;7617.05;4705.72;75281.9;1430;4769.41;7305.83;34698;1674.84;17353.57;13665.45;1816.83;225.09;9277.42;0;90.01;0;994.53;0;0;1457.87;13.54
